id;accuracy;altitude;bearing;deviceId;latitude;longitude;speed;timestamp;createdAt;updatedAt
739;3;40;114.0999984741211;356318067855771;18.49098072;-33.82411931;8.01;1509200795773;2017-10-28 14:46:15.046+00;2017-10-28 14:46:15.046+00
740;3;40;107.9000015258789;356318067855771;18.49107375;-33.82414649;8.94;1509200796774;2017-10-28 14:46:15.236+00;2017-10-28 14:46:15.236+00
741;3;41;108.0999984741211;356318067855771;18.49116219;-33.82416961;8.98;1509200797773;2017-10-28 14:46:15.427+00;2017-10-28 14:46:15.427+00
742;3;41;108;356318067855771;18.49124446;-33.82419386;8.27;1509200798771;2017-10-28 14:46:15.616+00;2017-10-28 14:46:15.616+00
743;3;42;107.5999984741211;356318067855771;18.49131452;-33.82421277;7.14;1509200799772;2017-10-28 14:46:15.805+00;2017-10-28 14:46:15.805+00
744;3;41;107.0999984741211;356318067855771;18.49136711;-33.82422864;5.42;1509200800767;2017-10-28 14:46:15.995+00;2017-10-28 14:46:15.995+00
745;3;40;106.4000015258789;356318067855771;18.49145515;-33.82424788;4.21;1509200802772;2017-10-28 14:46:16.185+00;2017-10-28 14:46:16.185+00
746;3;40;106.30000305175781;356318067855771;18.49151298;-33.82426282;5.3;1509200803771;2017-10-28 14:46:16.376+00;2017-10-28 14:46:16.376+00
747;3;41;106.80000305175781;356318067855771;18.49158189;-33.8242818;6.76;1509200804773;2017-10-28 14:46:16.567+00;2017-10-28 14:46:16.567+00
748;3;41;107.5;356318067855771;18.49166096;-33.82430483;7.65;1509200805773;2017-10-28 14:46:16.756+00;2017-10-28 14:46:16.756+00
749;3;40;108.69999694824219;356318067855771;18.49173713;-33.82432875;7.24;1509200806771;2017-10-28 14:46:16.947+00;2017-10-28 14:46:16.947+00
750;3;41;108;356318067855771;18.49181218;-33.82435128;7.28;1509200807772;2017-10-28 14:46:17.137+00;2017-10-28 14:46:17.137+00
751;3;41;107.80000305175781;356318067855771;18.49189267;-33.82437098;7.84;1509200808767;2017-10-28 14:46:17.326+00;2017-10-28 14:46:17.326+00
752;3;41;107.5999984741211;356318067855771;18.49198005;-33.82439391;8.35;1509200809769;2017-10-28 14:46:17.519+00;2017-10-28 14:46:17.519+00
753;3;41;108.5;356318067855771;18.49206101;-33.82441976;8.17;1509200810771;2017-10-28 14:46:17.708+00;2017-10-28 14:46:17.708+00
754;3;42;107.9000015258789;356318067855771;18.49213404;-33.82444333;7.64;1509200811771;2017-10-28 14:46:17.898+00;2017-10-28 14:46:17.898+00
755;3;42;107.69999694824219;356318067855771;18.49219272;-33.82446106;6.23;1509200812772;2017-10-28 14:46:18.089+00;2017-10-28 14:46:18.089+00
756;3;41;107.4000015258789;356318067855771;18.49228202;-33.8244842;4.45;1509200814771;2017-10-28 14:46:18.278+00;2017-10-28 14:46:18.278+00
757;3;39;107.5;356318067855771;18.49238214;-33.82450878;5.2;1509200816769;2017-10-28 14:46:18.467+00;2017-10-28 14:46:18.467+00
758;3;40;107.5;356318067855771;18.49244425;-33.82452847;5.87;1509200817769;2017-10-28 14:46:18.658+00;2017-10-28 14:46:18.658+00
759;3;40;107.19999694824219;356318067855771;18.49251165;-33.824548;6.5;1509200818770;2017-10-28 14:46:18.855+00;2017-10-28 14:46:18.855+00
760;3;40;107.4000015258789;356318067855771;18.49258448;-33.82457004;7.12;1509200819771;2017-10-28 14:46:19.045+00;2017-10-28 14:46:19.045+00
761;3;40;107.5;356318067855771;18.49266599;-33.82458992;7.84;1509200820772;2017-10-28 14:46:19.235+00;2017-10-28 14:46:19.235+00
762;3;41;107.5999984741211;356318067855771;18.49275157;-33.8246094;8.1;1509200821772;2017-10-28 14:46:19.425+00;2017-10-28 14:46:19.425+00
763;3;40;107.9000015258789;356318067855771;18.49282773;-33.82463208;7.46;1509200822772;2017-10-28 14:46:19.612+00;2017-10-28 14:46:19.612+00
764;3;41;108;356318067855771;18.49288465;-33.82465117;5.98;1509200823773;2017-10-28 14:46:19.8+00;2017-10-28 14:46:19.8+00
765;3;42;108.0999984741211;356318067855771;18.49296191;-33.82467458;3.25;1509200825769;2017-10-28 14:46:19.99+00;2017-10-28 14:46:19.99+00
766;3;42;107.80000305175781;356318067855771;18.49301712;-33.82468439;2.67;1509200827772;2017-10-28 14:46:20.181+00;2017-10-28 14:46:20.181+00
767;3;43;106.19999694824219;356318067855771;18.49310917;-33.8247058;5.01;1509200829774;2017-10-28 14:46:20.369+00;2017-10-28 14:46:20.369+00
768;3;43;106.69999694824219;356318067855771;18.49318065;-33.82472337;6.74;1509200830771;2017-10-28 14:46:20.557+00;2017-10-28 14:46:20.557+00
769;3;42;107.9000015258789;356318067855771;18.49326171;-33.82474797;7.54;1509200831772;2017-10-28 14:46:20.747+00;2017-10-28 14:46:20.747+00
770;3;42;108.5999984741211;356318067855771;18.49333826;-33.82476991;7.33;1509200832768;2017-10-28 14:46:20.935+00;2017-10-28 14:46:20.935+00
771;3;42;108.9000015258789;356318067855771;18.49341623;-33.82479386;7.79;1509200833768;2017-10-28 14:46:21.123+00;2017-10-28 14:46:21.123+00
772;3;42;107.9000015258789;356318067855771;18.49351098;-33.82481676;8.83;1509200834772;2017-10-28 14:46:21.314+00;2017-10-28 14:46:21.314+00
773;3;42;107.5;356318067855771;18.49361409;-33.82484214;9.97;1509200835771;2017-10-28 14:46:21.503+00;2017-10-28 14:46:21.503+00
774;3;42;108.0999984741211;356318067855771;18.49372385;-33.82487506;10.79;1509200836771;2017-10-28 14:46:21.692+00;2017-10-28 14:46:21.692+00
775;3;42;106.80000305175781;356318067855771;18.49384676;-33.82490363;11.54;1509200837773;2017-10-28 14:46:21.883+00;2017-10-28 14:46:21.883+00
776;3;42;106.9000015258789;356318067855771;18.49396514;-33.82493288;11.46;1509200838770;2017-10-28 14:46:22.072+00;2017-10-28 14:46:22.072+00
777;3;42;107.4000015258789;356318067855771;18.49407986;-33.82496287;11.13;1509200839771;2017-10-28 14:46:22.263+00;2017-10-28 14:46:22.263+00
778;3;42;107.80000305175781;356318067855771;18.4941868;-33.82498919;10.32;1509200840766;2017-10-28 14:46:22.46+00;2017-10-28 14:46:22.46+00
779;3;43;107.5999984741211;356318067855771;18.49427447;-33.82501114;8.63;1509200841768;2017-10-28 14:46:22.649+00;2017-10-28 14:46:22.649+00
780;3;43;107.0999984741211;356318067855771;18.49434894;-33.82502974;6.74;1509200842772;2017-10-28 14:46:22.842+00;2017-10-28 14:46:22.842+00
781;3;43;107.0999984741211;356318067855771;18.49444235;-33.82505048;4.16;1509200844770;2017-10-28 14:46:23.029+00;2017-10-28 14:46:23.029+00
782;3;43;106.4000015258789;356318067855771;18.49454093;-33.82507362;5.08;1509200846771;2017-10-28 14:46:23.22+00;2017-10-28 14:46:23.22+00
783;3;43;106.5999984741211;356318067855771;18.49460416;-33.82508926;6;1509200847771;2017-10-28 14:46:23.409+00;2017-10-28 14:46:23.409+00
784;3;44;107.0999984741211;356318067855771;18.49467627;-33.82510703;7.04;1509200848768;2017-10-28 14:46:23.6+00;2017-10-28 14:46:23.6+00
785;3;44;107.4000015258789;356318067855771;18.49476443;-33.82513022;8.16;1509200849769;2017-10-28 14:46:23.789+00;2017-10-28 14:46:23.789+00
786;3;44;107.80000305175781;356318067855771;18.49486086;-33.8251557;9.33;1509200850770;2017-10-28 14:46:23.98+00;2017-10-28 14:46:23.98+00
787;3;45;108.0999984741211;356318067855771;18.49496445;-33.82518456;10.17;1509200851773;2017-10-28 14:46:24.172+00;2017-10-28 14:46:24.172+00
788;3;45;108.19999694824219;356318067855771;18.49506718;-33.82521505;10.28;1509200852771;2017-10-28 14:46:24.36+00;2017-10-28 14:46:24.36+00
789;3;46;107.80000305175781;356318067855771;18.49517248;-33.82524441;10.18;1509200853771;2017-10-28 14:46:24.549+00;2017-10-28 14:46:24.549+00
790;3;46;107.5999984741211;356318067855771;18.49526538;-33.8252714;9.41;1509200854771;2017-10-28 14:46:24.736+00;2017-10-28 14:46:24.736+00
791;3;46;107.5;356318067855771;18.49534099;-33.82529047;7.85;1509200855769;2017-10-28 14:46:24.926+00;2017-10-28 14:46:24.926+00
792;3;46;107.4000015258789;356318067855771;18.4953983;-33.8253059;5.77;1509200856767;2017-10-28 14:46:25.116+00;2017-10-28 14:46:25.116+00
793;3;46;107.19999694824219;356318067855771;18.49549159;-33.82532585;4.27;1509200858770;2017-10-28 14:46:25.31+00;2017-10-28 14:46:25.31+00
794;3;46;107.30000305175781;356318067855771;18.49559341;-33.82535261;5.08;1509200860771;2017-10-28 14:46:25.509+00;2017-10-28 14:46:25.509+00
795;3;46;107;356318067855771;18.49565463;-33.82536817;5.92;1509200861771;2017-10-28 14:46:25.696+00;2017-10-28 14:46:25.696+00
796;3;46;106.5999984741211;356318067855771;18.49572589;-33.82538408;6.82;1509200862774;2017-10-28 14:46:25.885+00;2017-10-28 14:46:25.885+00
797;3;47;107.30000305175781;356318067855771;18.49580671;-33.82540586;7.91;1509200863770;2017-10-28 14:46:26.073+00;2017-10-28 14:46:26.073+00
798;3;47;108;356318067855771;18.49589932;-33.82543396;9.04;1509200864769;2017-10-28 14:46:26.264+00;2017-10-28 14:46:26.264+00
799;3;48;108.0999984741211;356318067855771;18.49599411;-33.82546189;8.99;1509200865770;2017-10-28 14:46:26.457+00;2017-10-28 14:46:26.457+00
800;3;48;106.80000305175781;356318067855771;18.49608008;-33.82548325;8.12;1509200866771;2017-10-28 14:46:26.645+00;2017-10-28 14:46:26.645+00
801;3;48;107.4000015258789;356318067855771;18.49614918;-33.82550413;6.88;1509200867774;2017-10-28 14:46:26.833+00;2017-10-28 14:46:26.833+00
802;3;48;107.5;356318067855771;18.49620634;-33.82552188;5.7;1509200868772;2017-10-28 14:46:27.024+00;2017-10-28 14:46:27.024+00
803;3;48;105.4000015258789;356318067855771;18.4962951;-33.82553772;4.33;1509200870772;2017-10-28 14:46:27.214+00;2017-10-28 14:46:27.214+00
804;3;48;106.4000015258789;356318067855771;18.49635241;-33.82555495;4.84;1509200871769;2017-10-28 14:46:27.403+00;2017-10-28 14:46:27.403+00
805;3;49;106.19999694824219;356318067855771;18.49641626;-33.82557059;5.68;1509200872775;2017-10-28 14:46:27.597+00;2017-10-28 14:46:27.597+00
806;3;48;106.69999694824219;356318067855771;18.49648698;-33.82558904;6.78;1509200873770;2017-10-28 14:46:27.784+00;2017-10-28 14:46:27.784+00
807;3;48;106.9000015258789;356318067855771;18.49657595;-33.82561703;8.07;1509200874771;2017-10-28 14:46:27.973+00;2017-10-28 14:46:27.973+00
808;3;47;106.5999984741211;356318067855771;18.49666842;-33.82564499;9.21;1509200875770;2017-10-28 14:46:28.164+00;2017-10-28 14:46:28.164+00
809;3;48;106.69999694824219;356318067855771;18.49678452;-33.82567482;10.55;1509200876770;2017-10-28 14:46:28.355+00;2017-10-28 14:46:28.355+00
810;3;47;108;356318067855771;18.49691001;-33.8257141;11.92;1509200877771;2017-10-28 14:46:28.544+00;2017-10-28 14:46:28.544+00
811;3;48;107.9000015258789;356318067855771;18.49704176;-33.82575332;12.43;1509200878768;2017-10-28 14:46:28.733+00;2017-10-28 14:46:28.733+00
812;3;47;107.9000015258789;356318067855771;18.49716991;-33.8257928;12.54;1509200879772;2017-10-28 14:46:28.922+00;2017-10-28 14:46:28.922+00
813;3;47;108.0999984741211;356318067855771;18.49729826;-33.82583129;12.32;1509200880771;2017-10-28 14:46:29.114+00;2017-10-28 14:46:29.114+00
814;3;47;107.5999984741211;356318067855771;18.49741716;-33.82586357;11.2;1509200881769;2017-10-28 14:46:29.307+00;2017-10-28 14:46:29.307+00
815;3;48;107.19999694824219;356318067855771;18.4975213;-33.82589154;10.14;1509200882766;2017-10-28 14:46:29.495+00;2017-10-28 14:46:29.495+00
816;3;48;107;356318067855771;18.49761146;-33.82591258;8.84;1509200883771;2017-10-28 14:46:29.682+00;2017-10-28 14:46:29.682+00
817;3;48;106.80000305175781;356318067855771;18.49768073;-33.82593107;6.87;1509200884771;2017-10-28 14:46:29.871+00;2017-10-28 14:46:29.871+00
818;3;46;106.69999694824219;356318067855771;18.49774783;-33.82594896;2.94;1509200886771;2017-10-28 14:46:30.061+00;2017-10-28 14:46:30.061+00
819;3;46;107.30000305175781;356318067855771;18.49780464;-33.82596089;3.69;1509200888771;2017-10-28 14:46:30.254+00;2017-10-28 14:46:30.254+00
820;3;46;107.5999984741211;356318067855771;18.49786408;-33.82597836;5.57;1509200889766;2017-10-28 14:46:30.443+00;2017-10-28 14:46:30.443+00
821;3;46;108.9000015258789;356318067855771;18.49794672;-33.82600422;7.76;1509200890770;2017-10-28 14:46:30.633+00;2017-10-28 14:46:30.633+00
822;3;46;109.0999984741211;356318067855771;18.49803713;-33.82602766;8.37;1509200891772;2017-10-28 14:46:30.821+00;2017-10-28 14:46:30.821+00
823;3;46;108.9000015258789;356318067855771;18.49812173;-33.82604968;8.23;1509200892769;2017-10-28 14:46:31.032+00;2017-10-28 14:46:31.032+00
824;3;46;108.19999694824219;356318067855771;18.49821613;-33.82607473;9.21;1509200893771;2017-10-28 14:46:31.223+00;2017-10-28 14:46:31.223+00
825;3;46;107.9000015258789;356318067855771;18.49832545;-33.82610144;10.34;1509200894771;2017-10-28 14:46:31.417+00;2017-10-28 14:46:31.417+00
826;3;46;107.80000305175781;356318067855771;18.49844052;-33.82613106;11.15;1509200895771;2017-10-28 14:46:31.615+00;2017-10-28 14:46:31.615+00
827;3;46;107.19999694824219;356318067855771;18.49855472;-33.82616075;10.95;1509200896771;2017-10-28 14:46:31.813+00;2017-10-28 14:46:31.813+00
828;3;46;106.5;356318067855771;18.49866361;-33.82618709;10.46;1509200897768;2017-10-28 14:46:32.143+00;2017-10-28 14:46:32.143+00
829;3;47;107.30000305175781;356318067855771;18.49876143;-33.8262128;9.63;1509200898769;2017-10-28 14:46:32.329+00;2017-10-28 14:46:32.329+00
830;3;47;108.4000015258789;356318067855771;18.49884485;-33.82623344;8.24;1509200899770;2017-10-28 14:46:32.649+00;2017-10-28 14:46:32.649+00
831;3;47;107.80000305175781;356318067855771;18.49890321;-33.82624566;6.22;1509200900771;2017-10-28 14:46:32.837+00;2017-10-28 14:46:32.837+00
832;3;47;107.80000305175781;356318067855771;18.49895879;-33.82626144;5.5;1509200901771;2017-10-28 14:46:33.071+00;2017-10-28 14:46:33.071+00
833;3;47;104.5999984741211;356318067855771;18.49901219;-33.82627165;5.38;1509200902771;2017-10-28 14:46:33.258+00;2017-10-28 14:46:33.258+00
834;3;47;107.5999984741211;356318067855771;18.49907909;-33.82628775;6.43;1509200903770;2017-10-28 14:46:33.45+00;2017-10-28 14:46:33.45+00
835;3;47;108;356318067855771;18.49915618;-33.82630592;7.4;1509200904772;2017-10-28 14:46:33.666+00;2017-10-28 14:46:33.666+00
836;3;47;108;356318067855771;18.49924517;-33.82633226;8.77;1509200905767;2017-10-28 14:46:33.856+00;2017-10-28 14:46:33.856+00
837;3;47;107.4000015258789;356318067855771;18.49935084;-33.82636022;9.84;1509200906769;2017-10-28 14:46:34.043+00;2017-10-28 14:46:34.043+00
838;3;48;107;356318067855771;18.49946334;-33.82638934;10.8;1509200907771;2017-10-28 14:46:34.234+00;2017-10-28 14:46:34.234+00
839;3;47;106.80000305175781;356318067855771;18.49957728;-33.82641781;10.94;1509200908771;2017-10-28 14:46:34.422+00;2017-10-28 14:46:34.422+00
840;3;48;106.9000015258789;356318067855771;18.4996916;-33.82644752;10.55;1509200909770;2017-10-28 14:46:34.612+00;2017-10-28 14:46:34.612+00
841;3;47;106.9000015258789;356318067855771;18.49979321;-33.82647012;10;1509200910771;2017-10-28 14:46:34.809+00;2017-10-28 14:46:34.809+00
842;3;48;107.0999984741211;356318067855771;18.4998871;-33.82649527;9.39;1509200911771;2017-10-28 14:46:35.007+00;2017-10-28 14:46:35.007+00
843;3;48;107.0999984741211;356318067855771;18.49996988;-33.82651712;8.21;1509200912771;2017-10-28 14:46:35.201+00;2017-10-28 14:46:35.201+00
844;3;48;107.19999694824219;356318067855771;18.50003288;-33.82653351;6.3;1509200913768;2017-10-28 14:46:35.389+00;2017-10-28 14:46:35.389+00
845;3;49;107.0999984741211;356318067855771;18.50008615;-33.82654578;5.06;1509200914769;2017-10-28 14:46:35.576+00;2017-10-28 14:46:35.576+00
846;3;49;107.30000305175781;356318067855771;18.50018999;-33.82657333;5.39;1509200916772;2017-10-28 14:46:35.764+00;2017-10-28 14:46:35.764+00
847;3;49;106.69999694824219;356318067855771;18.50025578;-33.82658943;6.05;1509200917772;2017-10-28 14:46:35.951+00;2017-10-28 14:46:35.951+00
848;3;50;107.69999694824219;356318067855771;18.50032946;-33.82660837;6.94;1509200918770;2017-10-28 14:46:36.14+00;2017-10-28 14:46:36.14+00
849;3;51;107.69999694824219;356318067855771;18.50040882;-33.82663024;7.81;1509200919769;2017-10-28 14:46:36.327+00;2017-10-28 14:46:36.327+00
850;3;51;107.5;356318067855771;18.50049832;-33.82665191;8.67;1509200920770;2017-10-28 14:46:36.515+00;2017-10-28 14:46:36.515+00
851;3;52;107.4000015258789;356318067855771;18.50060215;-33.82667885;9.68;1509200921769;2017-10-28 14:46:36.702+00;2017-10-28 14:46:36.702+00
852;3;53;107.5;356318067855771;18.50071289;-33.82671286;10.49;1509200922770;2017-10-28 14:46:36.891+00;2017-10-28 14:46:36.891+00
853;3;53;107.69999694824219;356318067855771;18.50082746;-33.82674377;10.7;1509200923771;2017-10-28 14:46:37.081+00;2017-10-28 14:46:37.081+00
854;3;53;107;356318067855771;18.50092965;-33.82677294;10.09;1509200924770;2017-10-28 14:46:37.27+00;2017-10-28 14:46:37.27+00
855;3;53;107.4000015258789;356318067855771;18.5010259;-33.82679903;9.54;1509200925782;2017-10-28 14:46:37.46+00;2017-10-28 14:46:37.46+00
856;3;54;109.30000305175781;356318067855771;18.50111827;-33.82682661;9.39;1509200926771;2017-10-28 14:46:37.648+00;2017-10-28 14:46:37.648+00
857;3;55;107.0999984741211;356318067855771;18.50121487;-33.8268458;4.98;1509200928767;2017-10-28 14:46:37.836+00;2017-10-28 14:46:37.836+00
858;3;54;107.4000015258789;356318067855771;18.5012665;-33.82686481;4.7;1509200929771;2017-10-28 14:46:38.024+00;2017-10-28 14:46:38.024+00
859;3;55;107.5999984741211;356318067855771;18.50132265;-33.82687951;5.16;1509200930771;2017-10-28 14:46:38.212+00;2017-10-28 14:46:38.212+00
860;3;55;107.5;356318067855771;18.5013918;-33.82689867;6.08;1509200931771;2017-10-28 14:46:38.401+00;2017-10-28 14:46:38.401+00
861;3;56;107.69999694824219;356318067855771;18.50146371;-33.82692025;7.14;1509200932771;2017-10-28 14:46:38.589+00;2017-10-28 14:46:38.589+00
862;3;56;107.5999984741211;356318067855771;18.5015502;-33.8269423;8.29;1509200933768;2017-10-28 14:46:38.779+00;2017-10-28 14:46:38.779+00
863;3;56;107.69999694824219;356318067855771;18.50164981;-33.82696846;9.53;1509200934769;2017-10-28 14:46:38.967+00;2017-10-28 14:46:38.967+00
864;3;57;107.80000305175781;356318067855771;18.50176442;-33.8270016;10.75;1509200935770;2017-10-28 14:46:39.157+00;2017-10-28 14:46:39.157+00
865;3;58;108.9000015258789;356318067855771;18.50188215;-33.82703871;11.51;1509200936773;2017-10-28 14:46:39.345+00;2017-10-28 14:46:39.345+00
866;3;58;107;356318067855771;18.50200025;-33.82706829;11.13;1509200937771;2017-10-28 14:46:39.534+00;2017-10-28 14:46:39.534+00
867;3;57;110;356318067855771;18.50210349;-33.82710152;10.26;1509200938771;2017-10-28 14:46:39.722+00;2017-10-28 14:46:39.722+00
868;3;57;106.69999694824219;356318067855771;18.50220747;-33.82712853;10.13;1509200939771;2017-10-28 14:46:39.911+00;2017-10-28 14:46:39.911+00
869;3;58;107.19999694824219;356318067855771;18.50230078;-33.82715534;9.06;1509200940770;2017-10-28 14:46:40.1+00;2017-10-28 14:46:40.1+00
870;3;58;107.69999694824219;356318067855771;18.50236959;-33.82717075;7.08;1509200941770;2017-10-28 14:46:40.29+00;2017-10-28 14:46:40.29+00
871;3;54;106.4000015258789;356318067855771;18.50243086;-33.82718278;2.82;1509200943771;2017-10-28 14:46:40.477+00;2017-10-28 14:46:40.477+00
872;3;53;107.4000015258789;356318067855771;18.50248838;-33.82719269;2.45;1509200947771;2017-10-28 14:46:40.665+00;2017-10-28 14:46:40.665+00
873;3;53;108.0999984741211;356318067855771;18.50259515;-33.82722157;5.72;1509200949772;2017-10-28 14:46:40.855+00;2017-10-28 14:46:40.855+00
874;3;52;108.4000015258789;356318067855771;18.50271162;-33.82724825;6.46;1509200951774;2017-10-28 14:46:41.044+00;2017-10-28 14:46:41.044+00
875;3;52;107.80000305175781;356318067855771;18.50279689;-33.82727308;8.16;1509200952772;2017-10-28 14:46:41.232+00;2017-10-28 14:46:41.232+00
876;3;52;106.5;356318067855771;18.50289834;-33.82729754;9.75;1509200953771;2017-10-28 14:46:41.426+00;2017-10-28 14:46:41.426+00
877;3;53;106.80000305175781;356318067855771;18.50300162;-33.82732407;10.01;1509200954771;2017-10-28 14:46:41.622+00;2017-10-28 14:46:41.622+00
878;3;53;106.4000015258789;356318067855771;18.50310395;-33.82735017;9.68;1509200955771;2017-10-28 14:46:41.811+00;2017-10-28 14:46:41.811+00
879;3;53;106.5999984741211;356318067855771;18.50321185;-33.82737416;10.09;1509200956772;2017-10-28 14:46:42.001+00;2017-10-28 14:46:42.001+00
